Redni broj,X koordinata,Y koordinata,Broj_greda,Grede_zamena,Farbanje,Br_srafova,Br_matica,Duzina_cm,Debljina_mm,Boja,,,,
1,44.80650689,20.4259855,4,0,DA,8,8,200,25,Zelena,,,Ukupno drvenih greda,743
2,44.8064969,20.42601031,4,0,DA,8,8,200,25,Zelena,,,Ukupno drvenih greda za zamenu,107
3,44.8064831,20.42603579,4,0,DA,8,8,200,25,Zelena,,,Ukupno srafova,1596
4,44.80647406,20.42605926,4,0,DA,8,8,200,25,Zelena,,,Ukupno matica,1596
5,44.80646026,20.42608943,4,0,DA,8,8,200,25,Zelena,,,Ukupna duzina drvne gradje u metrima ,314
6,44.80660727,20.42615448,4,0,DA,8,8,200,25,Zelena,,,Ukupno greda zelene boje,102
7,44.80662154,20.426129,4,0,DA,8,8,200,25,Zelena,,,Ukupno greda braon boje,54
8,44.80663772,20.42608809,4,0,DA,8,8,200,25,Zelena,,,Ukupno greda crvene boje,17
9,44.80667958,20.42600159,6,0,DA,12,12,200,25,Zelena,,,Ukupno greda bele boje,1
10,44.80658443,20.4266527,3,0,DA,6,6,100,25,Braon,,,Ukupan broj klupa bloka 23,174
11,44.80698406,20.42596922,3,0,DA,12,12,200,25,Zelena,,,,
12,44.80712297,20.42567083,5,0,NE,15,15,200,25,Crvena,,,,
13,44.80721479,20.42547234,3,0,DA,9,9,200,25,Crvena,,,,
14,44.80825188,20.42781312,3,0,DA,9,9,200,25,Braon,,,,
15,44.80827519,20.42783189,3,0,DA,9,9,200,25,Braon,,,,
16,44.80829231,20.42782116,3,0,DA,9,9,200,25,Braon,,,,
17,44.80830659,20.42779166,5,0,DA,12,12,200,25,Braon,,,,
18,44.80832181,20.42776484,3,0,DA,9,9,200,25,Braon,,,,
19,44.80831467,20.42774271,3,0,DA,9,9,200,25,Braon,,,,
20,44.80829517,20.42772326,3,0,DA,9,9,200,25,Braon,,,,
21,44.80832609,20.42763877,3,0,DA,9,9,200,25,Braon,,,,
22,44.80834417,20.42765755,3,0,DA,9,9,200,25,Braon,,,,
23,44.80836891,20.42765353,3,0,DA,9,9,200,25,Braon,,,,
24,44.8083808,20.42763006,5,0,DA,12,12,200,25,Braon,,,,
25,44.80839127,20.42759787,3,0,DA,9,9,200,25,Braon,,,,
